constrains,content,difficulty,external_link,images,input,input_example,note,output,output_example,title
,"You may have already known that a standard ICPC team consists of exactly three members. The perfect team however has more restrictions. A student can have some specialization: coder or mathematician.  She/he can have no specialization, but can't have both at the same time. So the team is considered perfect if it includes at least one coder, at least one mathematician and it consists of exactly three members. You are a coach at a very large university and you know that $$$c$$$ of your students are coders, $$$m$$$ are mathematicians and $$$x$$$ have no specialization. What is the maximum number of full perfect teams you can distribute them into?  Note that some students can be left without a team and each student can be a part of no more than one team. You are also asked to answer $$$q$$$ independent queries.",1200,https://codeforces.com/problemset/problem/1221/C,,"The first line contains a single integer $$$q$$$ ($$$1 \le q \le 10^4$$$) — the number of queries. Each of the next $$$q$$$ lines contains three integers $$$c$$$, $$$m$$$ and $$$x$$$ ($$$0 \le c, m, x \le 10^8$$$) — the number of coders, mathematicians and students without any specialization in the university, respectively.Note that the no student is both coder and mathematician at the same time. ","The first line contains a single integer $$$q$$$ ($$$1 \le q \le 10^4$$$) — the number of queries. Each of the next $$$q$$$ lines contains three integers $$$c$$$, $$$m$$$ and $$$x$$$ ($$$0 \le c, m, x \le 10^8$$$) — the number of coders, mathematicians and students without any specialization in the university, respectively.Note that the no student is both coder and mathematician at the same time. ",In the first example here are how teams are formed:,Print $$$q$$$ integers — the $$$i$$$-th of them should be the answer to the $$$i$$$ query in the order they are given in the input. The answer is the maximum number of full perfect teams you can distribute your students into. ,Print $$$q$$$ integers — the $$$i$$$-th of them should be the answer to the $$$i$$$ query in the order they are given in the input. The answer is the maximum number of full perfect teams you can distribute your students into. ,C. Perfect Team
,"A chess tournament will be held soon, where $$$n$$$ chess players will take part. Every participant will play one game against every other participant. Each game ends in either a win for one player and a loss for another player, or a draw for both players. Each of the players has their own expectations about the tournament, they can be one of two types:    a player wants not to lose any game (i. e. finish the tournament with  zero losses );   a player wants to win at least one game.  You have to determine if there exists an outcome for all the matches such that all the players meet their expectations. If there are several possible outcomes, print any of them. If there are none, report that it's impossible.",1000,https://codeforces.com/problemset/problem/1569/B,,"The first line contains a single integer $$$t$$$ ($$$1 \le t \le 200$$$) — the number of test cases.The first line of each test case contains one integer $$$n$$$ ($$$2 \le n \le 50$$$) — the number of chess players.The second line contains the string $$$s$$$ ($$$|s| = n$$$; $$$s_i \in \{1, 2\}$$$). If $$$s_i = 1$$$, then the $$$i$$$-th player has expectations of the first type, otherwise of the second type.","The first line contains a single integer $$$t$$$ ($$$1 \le t \le 200$$$) — the number of test cases.The first line of each test case contains one integer $$$n$$$ ($$$2 \le n \le 50$$$) — the number of chess players.The second line contains the string $$$s$$$ ($$$|s| = n$$$; $$$s_i \in \{1, 2\}$$$). If $$$s_i = 1$$$, then the $$$i$$$-th player has expectations of the first type, otherwise of the second type.",,"For each test case, print the answer in the following format:In the first line, print NO if it is impossible to meet the expectations of all players.Otherwise, print YES, and the matrix of size $$$n \times n$$$ in the next $$$n$$$ lines.The matrix element in the $$$i$$$-th row and $$$j$$$-th column should be equal to:","For each test case, print the answer in the following format:In the first line, print NO if it is impossible to meet the expectations of all players.Otherwise, print YES, and the matrix of size $$$n \times n$$$ in the next $$$n$$$ lines.The matrix element in the $$$i$$$-th row and $$$j$$$-th column should be equal to:",B. Chess Tournament
,"Someday, Drazil wanted to go on date with Varda. Drazil and Varda live on Cartesian plane. Drazil's home is located in point  (0, 0)  and Varda's home is located in point  ( a ,  b ) . In each step, he can move in a unit distance in horizontal or vertical direction. In other words, from position  ( x ,  y )  he can go to positions  ( x  + 1,  y ) ,  ( x  - 1,  y ) ,  ( x ,  y  + 1)  or  ( x ,  y  - 1) .  Unfortunately, Drazil doesn't have sense of direction. So he randomly chooses the direction he will go to in each step. He may accidentally return back to his house during his travel. Drazil may even not notice that he has arrived to  ( a ,  b )  and continue travelling.  Luckily, Drazil arrived to the position  ( a ,  b )  successfully. Drazil said to Varda: ""It took me exactly  s  steps to travel from my house to yours"". But Varda is confused about his words, she is not sure that it is possible to get from  (0, 0)  to  ( a ,  b )  in exactly  s  steps. Can you find out if it is possible for Varda?",1000,https://codeforces.com/problemset/problem/515/A,,"You are given three integers a, b, and s ( - 109 ≤ a, b ≤ 109, 1 ≤ s ≤ 2·109) in a single line.","You are given three integers a, b, and s ( - 109 ≤ a, b ≤ 109, 1 ≤ s ≤ 2·109) in a single line.",In fourth sample case one possible route is:  .,"If you think Drazil made a mistake and it is impossible to take exactly s steps and get from his home to Varda's home, print ""No"" (without quotes).Otherwise, print ""Yes"".","If you think Drazil made a mistake and it is impossible to take exactly s steps and get from his home to Varda's home, print ""No"" (without quotes).Otherwise, print ""Yes"".",A. Drazil and Date
,"Lee just became Master in Codeforces, and so, he went out to buy some gifts for his friends. He bought $$$n$$$ integers, now it's time to distribute them between his friends rationally... Lee has $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ in his backpack and he has $$$k$$$ friends. Lee would like to distribute  all  integers in his backpack between his friends, such that the $$$i$$$-th friend will get exactly $$$w_i$$$ integers and each integer will be handed over to exactly one friend. Let's define the  happiness  of a friend as the sum of the maximum and the minimum integer he'll get. Lee would like to make his friends as happy as possible, in other words, he'd like to maximize the sum of friends' happiness. Now he asks you to calculate the maximum sum of friends' happiness.",1400,https://codeforces.com/problemset/problem/1369/C,,"The first line contains one integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of test cases.Next $$$3t$$$ lines contain test cases — one per three lines.The first line of each test case contains two integers $$$n$$$ and $$$k$$$ ($$$1 \le n \le 2 \cdot 10^5$$$; $$$1 \le k \le n$$$) — the number of integers Lee has and the number of Lee's friends.The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$-10^9 \le a_i \le 10^9$$$) — the integers Lee has.The third line contains $$$k$$$ integers $$$w_1, w_2, \ldots, w_k$$$ ($$$1 \le w_i \le n$$$; $$$w_1 + w_2 + \ldots + w_k = n$$$) — the number of integers Lee wants to give to each friend. It's guaranteed that the sum of $$$n$$$ over test cases is less than or equal to $$$2 \cdot 10^5$$$.","The first line contains one integer $$$t$$$ ($$$1 \le t \le 10^4$$$) — the number of test cases.Next $$$3t$$$ lines contain test cases — one per three lines.The first line of each test case contains two integers $$$n$$$ and $$$k$$$ ($$$1 \le n \le 2 \cdot 10^5$$$; $$$1 \le k \le n$$$) — the number of integers Lee has and the number of Lee's friends.The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ ($$$-10^9 \le a_i \le 10^9$$$) — the integers Lee has.The third line contains $$$k$$$ integers $$$w_1, w_2, \ldots, w_k$$$ ($$$1 \le w_i \le n$$$; $$$w_1 + w_2 + \ldots + w_k = n$$$) — the number of integers Lee wants to give to each friend. It's guaranteed that the sum of $$$n$$$ over test cases is less than or equal to $$$2 \cdot 10^5$$$.","In the first test case, Lee should give the greatest integer to the first friend (his happiness will be $$$17 + 17$$$) and remaining integers to the second friend (his happiness will be $$$13 + 1$$$). In the second test case, Lee should give $$$\{10, 10, 11\}$$$ to the first friend and to the second friend, so the total happiness will be equal to $$$(11 + 10) + (11 + 10)$$$ In the third test case, Lee has four friends and four integers, it doesn't matter how he distributes the integers between his friends.","For each test case, print a single integer — the maximum sum of happiness Lee can achieve.","For each test case, print a single integer — the maximum sum of happiness Lee can achieve.",C. RationalLee
,"Timur has $$$n$$$ candies. The $$$i$$$-th candy has a quantity of sugar equal to $$$a_i$$$. So, by eating the $$$i$$$-th candy, Timur consumes a quantity of sugar equal to $$$a_i$$$. Timur will ask you $$$q$$$ queries regarding his candies. For the $$$j$$$-th query you have to answer what is the  minimum  number of candies he needs to eat in order to reach a quantity of sugar  greater than or equal to  $$$x_j$$$ or print  -1  if it's not possible to obtain such a quantity. In other words, you should print the minimum possible $$$k$$$ such that after eating $$$k$$$ candies, Timur consumes a quantity of sugar of at least $$$x_j$$$ or say that no possible $$$k$$$ exists. Note that he can't eat the same candy twice and queries are independent of each other (Timur can use the same candy in different queries).",1100,https://codeforces.com/problemset/problem/1676/E,,"The first line of input contains a single integer $$$t$$$ ($$$1 \leq t \leq 1000$$$)  — the number of test cases. The description of test cases follows.The first line contains $$$2$$$ integers $$$n$$$ and $$$q$$$ ($$$1 \leq n, q \leq 1.5\cdot10^5$$$) — the number of candies Timur has and the number of queries you have to print an answer for respectively.The second line contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \leq a_i \leq 10^4$$$) — the quantity of sugar in each of the candies respectively.Then $$$q$$$ lines follow. Each of the next $$$q$$$ lines contains a single integer $$$x_j$$$ ($$$1 \leq x_j \leq 2 \cdot 10^9$$$) – the quantity Timur wants to reach for the given query.It is guaranteed that the sum of $$$n$$$ and the sum of $$$q$$$ over all test cases do not exceed $$$1.5 \cdot 10^5$$$.","The first line of input contains a single integer $$$t$$$ ($$$1 \leq t \leq 1000$$$)  — the number of test cases. The description of test cases follows.The first line contains $$$2$$$ integers $$$n$$$ and $$$q$$$ ($$$1 \leq n, q \leq 1.5\cdot10^5$$$) — the number of candies Timur has and the number of queries you have to print an answer for respectively.The second line contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \leq a_i \leq 10^4$$$) — the quantity of sugar in each of the candies respectively.Then $$$q$$$ lines follow. Each of the next $$$q$$$ lines contains a single integer $$$x_j$$$ ($$$1 \leq x_j \leq 2 \cdot 10^9$$$) – the quantity Timur wants to reach for the given query.It is guaranteed that the sum of $$$n$$$ and the sum of $$$q$$$ over all test cases do not exceed $$$1.5 \cdot 10^5$$$.","For the first test case: For the first query, Timur can eat any candy, and he will reach the desired quantity. For the second query, Timur can reach a quantity of at least $$$10$$$ by eating the $$$7$$$-th and the $$$8$$$-th candies, thus consuming a quantity of sugar equal to $$$14$$$. For the third query, there is no possible answer. For the fourth query, Timur can reach a quantity of at least $$$14$$$ by eating the $$$7$$$-th and the $$$8$$$-th candies, thus consuming a quantity of sugar equal to $$$14$$$. For the second test case: For the only query of the second test case, we can choose the third candy from which Timur receives exactly $$$3$$$ sugar. It's also possible to obtain the same answer by choosing the fourth candy.",For each test case output $$$q$$$ lines. For the $$$j$$$-th line output the number of candies Timur needs to eat in order to reach a quantity of sugar greater than or equal to $$$x_j$$$ or print -1 if it's not possible to obtain such a quantity.,For each test case output $$$q$$$ lines. For the $$$j$$$-th line output the number of candies Timur needs to eat in order to reach a quantity of sugar greater than or equal to $$$x_j$$$ or print -1 if it's not possible to obtain such a quantity.,E. Eating Queries
,"You are given two arrays of length $$$n$$$: $$$a_1, a_2, \dots, a_n$$$ and $$$b_1, b_2, \dots, b_n$$$. You can perform the following operation any number of times:     Choose integer index $$$i$$$ ($$$1 \le i \le n$$$);   Swap $$$a_i$$$ and $$$b_i$$$.  What is the minimum possible sum $$$|a_1 - a_2| + |a_2 - a_3| + \dots + |a_{n-1} - a_n|$$$ $$$+$$$ $$$|b_1 - b_2| + |b_2 - b_3| + \dots + |b_{n-1} - b_n|$$$ (in other words, $$$\sum\limits_{i=1}^{n - 1}{\left(|a_i - a_{i+1}| + |b_i - b_{i+1}|\right)}$$$) you can achieve after performing several (possibly, zero) operations?",800,https://codeforces.com/problemset/problem/1661/A,,"The first line contains a single integer $$$t$$$ ($$$1 \le t \le 4000$$$) — the number of test cases. Then, $$$t$$$ test cases follow.The first line of each test case contains the single integer $$$n$$$ ($$$2 \le n \le 25$$$) — the length of arrays $$$a$$$ and $$$b$$$.The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \le a_i \le 10^9$$$) — the array $$$a$$$.The third line of each test case contains $$$n$$$ integers $$$b_1, b_2, \dots, b_n$$$ ($$$1 \le b_i \le 10^9$$$) — the array $$$b$$$.","The first line contains a single integer $$$t$$$ ($$$1 \le t \le 4000$$$) — the number of test cases. Then, $$$t$$$ test cases follow.The first line of each test case contains the single integer $$$n$$$ ($$$2 \le n \le 25$$$) — the length of arrays $$$a$$$ and $$$b$$$.The second line of each test case contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \le a_i \le 10^9$$$) — the array $$$a$$$.The third line of each test case contains $$$n$$$ integers $$$b_1, b_2, \dots, b_n$$$ ($$$1 \le b_i \le 10^9$$$) — the array $$$b$$$.","In the first test case, we can, for example, swap $$$a_3$$$ with $$$b_3$$$ and $$$a_4$$$ with $$$b_4$$$. We'll get arrays $$$a = [3, 3, 3, 3]$$$ and $$$b = [10, 10, 10, 10]$$$ with sum $$$3 \cdot |3 - 3| + 3 \cdot |10 - 10| = 0$$$. In the second test case, arrays already have minimum sum (described above) equal to $$$|1 - 2| + \dots + |4 - 5| + |6 - 7| + \dots + |9 - 10|$$$ $$$= 4 + 4 = 8$$$. In the third test case, we can, for example, swap $$$a_5$$$ and $$$b_5$$$.","For each test case, print one integer — the minimum possible sum $$$\sum\limits_{i=1}^{n-1}{\left(|a_i - a_{i+1}| + |b_i - b_{i+1}|\right)}$$$.","For each test case, print one integer — the minimum possible sum $$$\sum\limits_{i=1}^{n-1}{\left(|a_i - a_{i+1}| + |b_i - b_{i+1}|\right)}$$$.",A. Array Balancing
,"You are given an array $$$a$$$ of length $$$n$$$. You are also given a set of  distinct  positions $$$p_1, p_2, \dots, p_m$$$, where $$$1 \le p_i < n$$$. The position $$$p_i$$$ means that you can swap elements $$$a[p_i]$$$ and $$$a[p_i + 1]$$$. You can apply this operation any number of times for each of the given  positions . Your task is to determine if it is possible to sort the initial array in non-decreasing order ($$$a_1 \le a_2 \le \dots \le a_n$$$) using only allowed swaps. For example, if $$$a = [3, 2, 1]$$$ and $$$p = [1, 2]$$$, then we can first swap elements $$$a[2]$$$ and $$$a[3]$$$ (because position $$$2$$$ is contained in the given set $$$p$$$). We get the array $$$a = [3, 1, 2]$$$. Then we swap $$$a[1]$$$ and $$$a[2]$$$ (position $$$1$$$ is also contained in $$$p$$$). We get the array $$$a = [1, 3, 2]$$$. Finally, we swap $$$a[2]$$$ and $$$a[3]$$$ again and get the array $$$a = [1, 2, 3]$$$, sorted in non-decreasing order. You can see that if $$$a = [4, 1, 2, 3]$$$ and $$$p = [3, 2]$$$ then you cannot sort the array. You have to answer $$$t$$$ independent test cases.",1200,https://codeforces.com/problemset/problem/1311/B,,"The first line of the input contains one integer $$$t$$$ ($$$1 \le t \le 100$$$) — the number of test cases.Then $$$t$$$ test cases follow. The first line of each test case contains two integers $$$n$$$ and $$$m$$$ ($$$1 \le m < n \le 100$$$) — the number of elements in $$$a$$$ and the number of elements in $$$p$$$. The second line of the test case contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \le a_i \le 100$$$). The third line of the test case contains $$$m$$$ integers $$$p_1, p_2, \dots, p_m$$$ ($$$1 \le p_i < n$$$, all $$$p_i$$$ are distinct) — the set of positions described in the problem statement.","The first line of the input contains one integer $$$t$$$ ($$$1 \le t \le 100$$$) — the number of test cases.Then $$$t$$$ test cases follow. The first line of each test case contains two integers $$$n$$$ and $$$m$$$ ($$$1 \le m < n \le 100$$$) — the number of elements in $$$a$$$ and the number of elements in $$$p$$$. The second line of the test case contains $$$n$$$ integers $$$a_1, a_2, \dots, a_n$$$ ($$$1 \le a_i \le 100$$$). The third line of the test case contains $$$m$$$ integers $$$p_1, p_2, \dots, p_m$$$ ($$$1 \le p_i < n$$$, all $$$p_i$$$ are distinct) — the set of positions described in the problem statement.",,"For each test case, print the answer — ""YES"" (without quotes) if you can sort the initial array in non-decreasing order ($$$a_1 \le a_2 \le \dots \le a_n$$$) using only allowed swaps. Otherwise, print ""NO"".","For each test case, print the answer — ""YES"" (without quotes) if you can sort the initial array in non-decreasing order ($$$a_1 \le a_2 \le \dots \le a_n$$$) using only allowed swaps. Otherwise, print ""NO"".",B. WeirdSort
,"Olga came to visit the twins Anna and Maria and saw that they have many cookies. The cookies are distributed into bags. As there are many cookies, Olga decided that it's no big deal if she steals a bag. However, she doesn't want the sisters to quarrel because of nothing when they divide the cookies. That's why Olga wants to steal a bag with cookies so that the number of cookies in the remaining bags was even, that is, so that Anna and Maria could evenly divide it into two (even 0 remaining cookies will do, just as any other even number). How many ways there are to steal exactly one cookie bag so that the total number of cookies in the remaining bags was even?",900,https://codeforces.com/problemset/problem/129/A,,The first line contains the only integer n (1 ≤ n ≤ 100) — the number of cookie bags Anna and Maria have. The second line contains n integers ai (1 ≤ ai ≤ 100) — the number of cookies in the i-th bag.,The first line contains the only integer n (1 ≤ n ≤ 100) — the number of cookie bags Anna and Maria have. The second line contains n integers ai (1 ≤ ai ≤ 100) — the number of cookies in the i-th bag.,"In the first sample Olga should take the only bag so that the twins ended up with the even number of cookies. In the second sample Olga can take any of five bags with two cookies or any of three bags with four cookies —  5 + 3 = 8  ways in total. In the third sample, no matter which bag with two cookies Olga chooses, the twins are left with  2 * 9 + 99 = 117  cookies. Thus, Olga has only one option: to take the bag with  99  cookies.",Print in the only line the only number — the sought number of ways. If there are no such ways print 0.,Print in the only line the only number — the sought number of ways. If there are no such ways print 0.,A. Cookies
,"The only difference between easy and hard versions are constraints on $$$n$$$ and $$$k$$$ . You are messaging in one of the popular social networks via your smartphone. Your smartphone can show at most $$$k$$$ most recent conversations with your friends. Initially, the screen is empty (i.e. the number of displayed conversations equals $$$0$$$). Each conversation is between you and some of your friends. There is at most one conversation with any of your friends. So each conversation is uniquely defined by your friend. You (suddenly!) have the ability to see the future. You know that during the day you will receive $$$n$$$ messages, the $$$i$$$-th message will be received from the friend with ID $$$id_i$$$ ($$$1 \le id_i \le 10^9$$$). If you receive a message from $$$id_i$$$ in the conversation which is currently displayed on the smartphone then nothing happens: the conversations of the screen do not change and do not change their order, you read the message and continue waiting for new messages. Otherwise (i.e. if there is no conversation with $$$id_i$$$ on the screen):    Firstly, if the number of conversations displayed on the screen is $$$k$$$, the last conversation (which has the position $$$k$$$) is removed from the screen.   Now the number of conversations on the screen is guaranteed to be less than $$$k$$$ and the conversation with the friend $$$id_i$$$ is not displayed on the screen.   The conversation with the friend $$$id_i$$$ appears on the first (the topmost) position on the screen and all the other displayed conversations are shifted one position down.  Your task is to find the list of conversations (in the order they are displayed on the screen) after processing all $$$n$$$ messages.",1000,https://codeforces.com/problemset/problem/1234/B1,,"The first line of the input contains two integers $$$n$$$ and $$$k$$$ ($$$1 \le n, k \le 200)$$$ — the number of messages and the number of conversations your smartphone can show.The second line of the input contains $$$n$$$ integers $$$id_1, id_2, \dots, id_n$$$ ($$$1 \le id_i \le 10^9$$$), where $$$id_i$$$ is the ID of the friend which sends you the $$$i$$$-th message.","The first line of the input contains two integers $$$n$$$ and $$$k$$$ ($$$1 \le n, k \le 200)$$$ — the number of messages and the number of conversations your smartphone can show.The second line of the input contains $$$n$$$ integers $$$id_1, id_2, \dots, id_n$$$ ($$$1 \le id_i \le 10^9$$$), where $$$id_i$$$ is the ID of the friend which sends you the $$$i$$$-th message.",In the first example the list of conversations will change in the following way (in order from the first to last message): In the second example the list of conversations will change in the following way:,"In the first line of the output print one integer $$$m$$$ ($$$1 \le m \le min(n, k)$$$) — the number of conversations shown after receiving all $$$n$$$ messages.In the second line print $$$m$$$ integers $$$ids_1, ids_2, \dots, ids_m$$$, where $$$ids_i$$$ should be equal to the ID of the friend corresponding to the conversation displayed on the position $$$i$$$ after receiving all $$$n$$$ messages.","In the first line of the output print one integer $$$m$$$ ($$$1 \le m \le min(n, k)$$$) — the number of conversations shown after receiving all $$$n$$$ messages.In the second line print $$$m$$$ integers $$$ids_1, ids_2, \dots, ids_m$$$, where $$$ids_i$$$ should be equal to the ID of the friend corresponding to the conversation displayed on the position $$$i$$$ after receiving all $$$n$$$ messages.",B1. Social Network (easy version)
,"A string $$$b$$$ is a subsequence of a string $$$a$$$ if $$$b$$$ can be obtained from $$$a$$$ by deletion of several (possibly, zero or all) characters. For example, "" xy "" is a subsequence of "" xzyw "" and "" xy "", but not "" yx "". You are given a string $$$a$$$. Your task is to reorder the characters of $$$a$$$ so that "" trygub "" is not a subsequence of the resulting string. In other words, you should find a string $$$b$$$ which is a permutation of symbols of the string $$$a$$$ and "" trygub "" is not a subsequence of $$$b$$$. We have a truly marvelous proof that any string can be arranged not to contain "" trygub "" as a subsequence, but this problem statement is too short to contain it.",800,https://codeforces.com/problemset/problem/1450/A,,"The first line contains a single integer $$$t$$$ ($$$1\le t\le 100$$$) — the number of test cases.The first line of each test case contains a single integer $$$n$$$ ($$$1\le n\le 200$$$) — the length of $$$a$$$.The next line contains the string $$$a$$$ of length $$$n$$$, consisting of lowercase English letters.","The first line contains a single integer $$$t$$$ ($$$1\le t\le 100$$$) — the number of test cases.The first line of each test case contains a single integer $$$n$$$ ($$$1\le n\le 200$$$) — the length of $$$a$$$.The next line contains the string $$$a$$$ of length $$$n$$$, consisting of lowercase English letters.","In the first test case, "" bugyrtnotna "" does not contain "" trygub "" as a subsequence. It does contain the letters of "" trygub "", but not in the correct order, so it is not a subsequence. In the second test case, we did not change the order of characters because it is not needed. In the third test case, "" bruhtrywatchinggura "" does contain "" trygu "" as a subsequence, but not "" trygub "".","For each test case, output a string $$$b$$$ of length $$$n$$$ which is a permutation of characters of the string $$$a$$$, and such that ""trygub"" is not a subsequence of it.If there exist multiple possible strings $$$b$$$, you can print any.","For each test case, output a string $$$b$$$ of length $$$n$$$ which is a permutation of characters of the string $$$a$$$, and such that ""trygub"" is not a subsequence of it.If there exist multiple possible strings $$$b$$$, you can print any.",A. Avoid Trygub
,"Given $$$n$$$, find any array $$$a_1, a_2, \ldots, a_n$$$ of integers such that all of the following conditions hold:  $$$1 \le a_i \le 10^9$$$ for every $$$i$$$ from $$$1$$$ to $$$n$$$. $$$a_1 < a_2 < \ldots <a_n$$$ For every $$$i$$$ from $$$2$$$ to $$$n$$$, $$$a_i$$$ isn't divisible by $$$a_{i-1}$$$ It can be shown that such an array always exists under the constraints of the problem.",800,https://codeforces.com/problemset/problem/1608/A,,The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 100$$$). Description of the test cases follows.The only line of each test case contains a single integer $$$n$$$ ($$$1 \le n \le 1000$$$).It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$10^4$$$.,The first line contains the number of test cases $$$t$$$ ($$$1 \le t \le 100$$$). Description of the test cases follows.The only line of each test case contains a single integer $$$n$$$ ($$$1 \le n \le 1000$$$).It is guaranteed that the sum of $$$n$$$ over all test cases does not exceed $$$10^4$$$.,"In the first test case, array $$$[1]$$$ satisfies all the conditions. In the second test case, array $$$[2, 3]$$$ satisfies all the conditions, as $$$2<3$$$ and $$$3$$$ is not divisible by $$$2$$$. In the third test case, array $$$[111, 1111, 11111, 111111, 1111111, 11111111, 111111111]$$$ satisfies all the conditions, as it's increasing and $$$a_i$$$ isn't divisible by $$$a_{i-1}$$$ for any $$$i$$$ from $$$2$$$ to $$$7$$$.","For each test case print $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ — the array you found. If there are multiple arrays satisfying all the conditions, print any of them.","For each test case print $$$n$$$ integers $$$a_1, a_2, \ldots, a_n$$$ — the array you found. If there are multiple arrays satisfying all the conditions, print any of them.",A. Find Array
,"Today, Wet Shark is given  n  integers. Using any of these integers no more than once, Wet Shark wants to get maximum possible even (divisible by  2 ) sum. Please, calculate this value for Wet Shark.  Note, that if Wet Shark uses no integers from the  n  integers, the sum is an even integer  0 .",900,https://codeforces.com/problemset/problem/621/A,,"The first line of the input contains one integer, n (1 ≤ n ≤ 100 000). The next line contains n space separated integers given to Wet Shark. Each of these integers is in range from 1 to 109, inclusive. ","The first line of the input contains one integer, n (1 ≤ n ≤ 100 000). The next line contains n space separated integers given to Wet Shark. Each of these integers is in range from 1 to 109, inclusive. ","In the first sample, we can simply take all three integers for a total sum of  6 . In the second sample Wet Shark should take any four out of five integers  999 999 999 .",Print the maximum possible even sum that can be obtained if we use some of the given integers. ,Print the maximum possible even sum that can be obtained if we use some of the given integers. ,A. Wet Shark and Odd and Even
,Yaroslav has an array that consists of  n  integers. In one second Yaroslav can swap two neighboring array elements. Now Yaroslav is wondering if he can obtain an array where any two neighboring elements would be distinct in a finite time. Help Yaroslav.,1100,https://codeforces.com/problemset/problem/296/A,,"The first line contains integer n (1 ≤ n ≤ 100) — the number of elements in the array. The second line contains n integers a1, a2, ..., an (1 ≤ ai ≤ 1000) — the array elements.","The first line contains integer n (1 ≤ n ≤ 100) — the number of elements in the array. The second line contains n integers a1, a2, ..., an (1 ≤ ai ≤ 1000) — the array elements.","In the first sample the initial array fits well. In the second sample Yaroslav can get array:  1 ,  2 ,  1 . He can swap the last and the second last elements to obtain it. In the third sample Yarosav can't get the array he needs.            ","In the single line print ""YES"" (without the quotes) if Yaroslav can obtain the array he needs, and ""NO"" (without the quotes) otherwise.","In the single line print ""YES"" (without the quotes) if Yaroslav can obtain the array he needs, and ""NO"" (without the quotes) otherwise.",A. Yaroslav and Permutations
